CONTAINER ID,NAME,CPU %,MEM USAGE (B),MEM LIMIT (B),MEM %,NETWORK IN (kB),NETWORK OUT (kB),BLOCK IN (kB),BLOCK OUT (kB),PIDS
4792b602a5f2,sfe_laptop,58.74%,262MiB,1.938GiB,13.20%,7.79MB,7.69MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,99.70%,259.2MiB,1.938GiB,13.06%,7.69MB,7.79MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,0.00%,262MiB,1.938GiB,13.20%,7.79MB,7.69MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,99.70%,259.2MiB,1.938GiB,13.06%,7.69MB,7.79MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,0.00%,262MiB,1.938GiB,13.20%,7.79MB,7.69MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,100.44%,259.2MiB,1.938GiB,13.06%,7.69MB,7.79MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,0.00%,262MiB,1.938GiB,13.20%,7.79MB,7.69MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,100.44%,259.2MiB,1.938GiB,13.06%,7.69MB,7.79MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,0.00%,262MiB,1.938GiB,13.20%,7.79MB,7.69MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,104.07%,268.5MiB,1.938GiB,13.53%,7.75MB,7.86MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,74.68%,271.3MiB,1.938GiB,13.67%,7.86MB,7.75MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,104.07%,268.5MiB,1.938GiB,13.53%,7.75MB,7.86MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,74.68%,271.3MiB,1.938GiB,13.67%,7.86MB,7.75MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,77.01%,277.8MiB,1.938GiB,13.99%,7.82MB,7.92MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,105.56%,280.5MiB,1.938GiB,14.13%,7.92MB,7.82MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,77.01%,277.8MiB,1.938GiB,13.99%,7.82MB,7.92MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,105.56%,280.5MiB,1.938GiB,14.13%,7.92MB,7.82MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,53.58%,277.8MiB,1.938GiB,14.00%,7.82MB,7.93MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,100.09%,280.6MiB,1.938GiB,14.14%,7.93MB,7.82MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,53.58%,277.8MiB,1.938GiB,14.00%,7.82MB,7.93MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,100.09%,280.6MiB,1.938GiB,14.14%,7.93MB,7.82MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,53.30%,287.1MiB,1.938GiB,14.46%,7.89MB,8MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,102.50%,289.8MiB,1.938GiB,14.60%,8MB,7.89MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,53.30%,287.1MiB,1.938GiB,14.46%,7.89MB,8MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,102.50%,289.8MiB,1.938GiB,14.60%,8MB,7.89MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,49.11%,296.3MiB,1.938GiB,14.93%,7.96MB,8.07MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,105.98%,299.1MiB,1.938GiB,15.07%,8.07MB,7.96MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,49.11%,296.3MiB,1.938GiB,14.93%,7.96MB,8.07MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,105.98%,299.1MiB,1.938GiB,15.07%,8.07MB,7.96MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,100.34%,296.3MiB,1.938GiB,14.93%,7.96MB,8.07MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,81.90%,299.1MiB,1.938GiB,15.07%,8.07MB,7.96MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,100.34%,296.3MiB,1.938GiB,14.93%,7.96MB,8.07MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,81.90%,299.1MiB,1.938GiB,15.07%,8.07MB,7.96MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,106.14%,305.6MiB,1.938GiB,15.40%,8.02MB,8.13MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,104.43%,308.5MiB,1.938GiB,15.54%,8.13MB,8.02MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,106.14%,305.6MiB,1.938GiB,15.40%,8.02MB,8.13MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,104.43%,308.5MiB,1.938GiB,15.54%,8.13MB,8.02MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,106.01%,305.8MiB,1.938GiB,15.41%,8.08MB,8.18MB,86kB,647kB,11
4792b602a5f2,sfe_laptop,35.17%,308.6MiB,1.938GiB,15.55%,8.19MB,8.07MB,90.1kB,651kB,12
3c8ef68fae4f,sfe_drone,106.01%,305.8MiB,1.938GiB,15.41%,8.08MB,8.18MB,86kB,647kB,11
4792b602a5f2,sfe_laptop,35.17%,308.6MiB,1.938GiB,15.55%,8.19MB,8.07MB,90.1kB,651kB,12
3c8ef68fae4f,sfe_drone,100.20%,314.9MiB,1.938GiB,15.86%,8.08MB,8.19MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,100.49%,317.8MiB,1.938GiB,16.01%,8.19MB,8.08MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,100.20%,314.9MiB,1.938GiB,15.86%,8.08MB,8.19MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,100.49%,317.8MiB,1.938GiB,16.01%,8.19MB,8.08MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,100.29%,315.2MiB,1.938GiB,15.88%,8.08MB,8.19MB,86kB,647kB,11
4792b602a5f2,sfe_laptop,6.25%,317.9MiB,1.938GiB,16.02%,8.2MB,8.08MB,90.1kB,651kB,12
3c8ef68fae4f,sfe_drone,100.29%,315.2MiB,1.938GiB,15.88%,8.08MB,8.19MB,86kB,647kB,11
4792b602a5f2,sfe_laptop,6.25%,317.9MiB,1.938GiB,16.02%,8.2MB,8.08MB,90.1kB,651kB,12
3c8ef68fae4f,sfe_drone,108.37%,324.2MiB,1.938GiB,16.33%,8.15MB,8.26MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,108.70%,326.9MiB,1.938GiB,16.47%,8.26MB,8.15MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,108.37%,324.2MiB,1.938GiB,16.33%,8.15MB,8.26MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,108.70%,326.9MiB,1.938GiB,16.47%,8.26MB,8.15MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,75.96%,333.6MiB,1.938GiB,16.81%,8.22MB,8.33MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,106.91%,336.2MiB,1.938GiB,16.94%,8.33MB,8.21MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,75.96%,333.6MiB,1.938GiB,16.81%,8.22MB,8.33MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,106.91%,336.2MiB,1.938GiB,16.94%,8.33MB,8.21MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,64.60%,342.8MiB,1.938GiB,17.27%,8.28MB,8.39MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,105.80%,345.5MiB,1.938GiB,17.41%,8.4MB,8.28MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,64.60%,342.8MiB,1.938GiB,17.27%,8.28MB,8.39MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,105.80%,345.5MiB,1.938GiB,17.41%,8.4MB,8.28MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,63.64%,352MiB,1.938GiB,17.74%,8.35MB,8.46MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,92.26%,354.9MiB,1.938GiB,17.88%,8.46MB,8.35MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,63.64%,352MiB,1.938GiB,17.74%,8.35MB,8.46MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,92.26%,354.9MiB,1.938GiB,17.88%,8.46MB,8.35MB,90.1kB,651kB,8
3c8ef68fae4f,sfe_drone,103.99%,370.6MiB,1.938GiB,18.67%,8.47MB,8.59MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,104.83%,373.4MiB,1.938GiB,18.81%,8.59MB,8.47MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,103.99%,370.6MiB,1.938GiB,18.67%,8.47MB,8.59MB,86kB,647kB,5
4792b602a5f2,sfe_laptop,104.83%,373.4MiB,1.938GiB,18.81%,8.59MB,8.47MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,39.40%,370.7MiB,1.938GiB,18.68%,8.47MB,8.59MB,86kB,647kB,7
4792b602a5f2,sfe_laptop,100.00%,373.4MiB,1.938GiB,18.81%,8.59MB,8.47MB,90.1kB,651kB,6
3c8ef68fae4f,sfe_drone,39.40%,370.7MiB,1.938GiB,18.68%,8.47MB,8.59MB,86kB,647kB,7
